time0,time1,time2,D.value
0,31,31,0.0150531454
0,31,31,0.0128718985
0,31,31,0.0155350358
0,31,32,0.0145322383
0,31,32,0.0152220687
0,31,32,0.0141944065
0,31,32,0.0136851442
30,31,31,0.0037325494
0,31,31,0.0168551793
0,31,31,0.0132764888
0,31,31,0.0166192633
0,31,31,0.0135681793
0,31,31,0.0170439441
0,31,32,0.0161748681
0,31,32,0.0171263744
0,31,32,0.0162798173
0,31,32,0.0157801958
0,31,31,0.0170147436
0,31,31,0.013457293
0,31,31,0.0165193734
0,31,31,0.0134611049
0,31,31,0.0168155376
0,31,32,0.0157872165
0,31,32,0.0163603771
0,31,32,0.0157004491
0,31,32,0.0154895961
30,31,31,0.002773308
0,31,31,0.0151125269
0,31,31,0.0130304723
0,31,31,0.0155031973
0,31,32,0.0147432488
0,31,32,0.0154842013
0,31,32,0.0148893404
0,31,32,0.0144956392
0,31,31,0.0129866043
0,31,31,0.01080532
0,31,31,0.0133760919
0,31,32,0.0128822649
0,31,32,0.0134083818
0,31,32,0.0128146292
0,31,32,0.0124010159
30,31,31,0.0031213089
30,31,31,0.000965619
0,31,32,0.0144867507
0,31,32,0.0152086812
0,31,32,0.0145486183
0,31,32,0.0141516032
30,31,31,0.0033112773
0,31,32,0.0125758102
0,31,32,0.0129535357
0,31,32,0.012309925
0,31,32,0.011942116
0,31,32,0.0148403403
0,31,32,0.0156383847
0,31,32,0.0149187206
0,31,32,0.0146252186
31,32,32,0.0029968257
0,32,32,0.0134516604
0,32,32,0.0132521691
0,32,32,0.013902383
0,32,32,0.0136717894
31,32,32,0.0029177762
